,Mese,Anno,Consumi
0,mar,2020,3312
0,feb,2020,4636
0,gen,2020,4789
0,dic,2019,5047
0,nov,2019,4814
0,ott,2019,5493.000000000001
0,set,2019,5116
0,ago,2019,5087
0,lug,2019,5640
0,giu,2019,5122
0,mag,2019,5042
0,apr,2019,4846
0,mar,2019,4794
0,feb,2019,4609
0,gen,2019,4841
0,gen ,2018,4691
1,feb ,2018,4679
2,mar ,2018,5116
3,apr ,2018,4786
4,mag ,2018,5253
5,giu ,2018,5195
6,lug,2018,5564.999999999999
7,ago,2018,5132
8,set,2018,4983
9,ott,2018,5437
10,nov,2018,4996
11,dic,2018,5070
0,gen ,2017,4575
1,feb ,2017,4296
2,mar ,2017,4996.000000000001
3,apr ,2017,4572
4,mag ,2017,4989
5,giu ,2017,5078
6,lug,2017,5367
7,ago,2017,5029.999999999999
8,set,2017,4867.9999999
9,ott,2017,5107
10,nov,2017,4876
11,dic,2017,4910
0,gen ,2016,4603
1,feb ,2016,4532
2,mar ,2016,4934
3,apr ,2016,4939
4,mag ,2016,4946
5,giu ,2016,4911
6,lug,2016,5268
7,ago,2016,4989
8,set,2016,5233
9,ott,2016,5035
10,nov,2016,4931
11,dic,2016,5093
0,gen ,2015,4555
1,feb ,2015,4439
2,mar ,2015,4952
3,apr ,2015,5057
4,mag ,2015,4888.999999
5,giu ,2015,4994
6,lug,2015,5612.000000000001
7,ago,2015,5015
8,set,2015,5124.999999
9,ott,2015,5115
10,nov,2015,4992
11,dic,2015,5223
0,gen ,2014,4607
1,feb ,2014,4383
2,mar ,2014,4786
3,apr ,2014,4732
4,mag ,2014,4924
5,giu ,2014,4678
6,lug,2014,5190
7,ago,2014,4717
8,set,2014,4966
9,ott,2014,5067
10,nov,2014,4518
11,dic,2014,5016
0,gen ,2013,4854
1,feb ,2013,4515
2,mar ,2013,4823
3,apr ,2013,4998
4,mag ,2013,5245.000000000001
5,giu ,2013,4948.999999999999
6,lug,2013,5584.000000000001
7,ago,2013,5000
8,set,2013,5066
9,ott,2013,5269
10,nov,2013,4850
11,dic,2013,5067
0,gen ,2012,5308
1,feb ,2012,5121
2,mar ,2012,5477
3,apr ,2012,5155
4,mag ,2012,5460
5,giu ,2012,5508.000000000001
6,lug,2012,5631
7,ago,2012,5292
8,set,2012,5201.999999999999
9,ott,2012,5560
10,nov,2012,5256
11,dic,2012,5259
0,gen ,2011,5697
1,feb ,2011,5700
2,mar ,2011,6022
3,apr ,2011,5964
4,mag ,2011,5931
5,giu ,2011,5978
6,lug,2011,6155
7,ago,2011,5959
8,set,2011,6201
9,ott,2011,6086
10,nov,2011,5649
11,dic,2011,5715
0,gen ,2010,5497
1,feb ,2010,5605
2,mar ,2010,6275
3,apr ,2010,5922
4,mag ,2010,6133.000000000001
5,giu ,2010,6244
6,lug,2010,6814
7,ago,2010,5838
8,set,2010,6361
9,ott,2010,6248
10,nov,2010,6277
11,dic,2010,6517
0,gen ,2009,6232
1,feb ,2009,5829
2,mar ,2009,6392
3,apr ,2009,6167
4,mag ,2009,6213
5,giu ,2009,6381
6,lug,2009,6980
7,ago,2009,5809
8,set,2009,6213
9,ott,2009,6548
10,nov,2009,6027
11,dic,2009,6436
0,gen ,2008,7157
1,feb ,2008,6738
2,mar ,2008,6521
3,apr ,2008,6708
4,mag ,2008,6660
5,giu ,2008,6473
6,lug,2008,7197
7,ago,2008,6175
8,set,2008,6976
9,ott,2008,6762
10,nov,2008,6324
11,dic,2008,6720
0,gen ,2007,7027
1,feb ,2007,6585
2,mar ,2007,7009
3,apr ,2007,6520
4,mag ,2007,7060
5,giu ,2007,7010
6,lug,2007,7531
7,ago,2007,6807
8,set,2007,6638
9,ott,2007,7420
10,nov,2007,7088
11,dic,2007,7294
0,gen ,2006,7688
1,feb ,2006,7339
2,mar ,2006,8107
3,apr ,2006,6443
4,mag ,2006,6977
5,giu ,2006,7038
6,lug,2006,7254
7,ago,2006,6549
8,set,2006,7266
9,ott,2006,7238
10,nov,2006,7400
11,dic,2006,7364
0,gen ,2005,7324
1,feb ,2005,7132
2,mar ,2005,7593
3,apr ,2005,6741
4,mag ,2005,7195
5,giu ,2005,7011
6,lug,2005,7358
7,ago,2005,6733
8,set,2005,7086
9,ott,2005,7193
10,nov,2005,7562
11,dic,2005,7758
0,gen ,2004,7648
1,feb ,2004,7238
2,mar ,2004,7984
3,apr ,2004,7068
4,mag ,2004,7029
5,giu ,2004,7148
6,lug,2004,7938
7,ago,2004,6795
8,set,2004,7591
9,ott,2004,7458
10,nov,2004,7534
11,dic,2004,8211
0,gen ,2003,7905
1,feb ,2003,7510
2,mar ,2003,7646
3,apr ,2003,7638
4,mag ,2003,7538
5,giu ,2003,7581
6,lug,2003,8393
7,ago,2003,7413
8,set,2003,7861
9,ott,2003,8239
10,nov,2003,7157
11,dic,2003,8093
0,gen ,2002,8471
1,feb ,2002,7785
2,mar ,2002,7911
3,apr ,2002,7192
4,mag ,2002,7503
5,giu ,2002,7557
6,lug,2002,8286
7,ago,2002,7229
8,set,2002,7529
9,ott,2002,8007
10,nov,2002,7713
11,dic,2002,8100
